9253	3.18
9307	3.82
9309	3.0
9329	3.51
9367	3.22
9378	3.89
9389	2.74
9426	3.99
9433	4.05
9469	2.65
9531	2.79
9565	3.6
9601	2.52
9614	3.66
9645	3.36
9661	2.44
9666	3.72
9685	3.24
9694	3.17
9725	3.17
9728	3.89
9756	3.29
9759	3.35
9762	3.01
9771	4.01
9785	3.27
9814	3.63
9828	3.86
9837	3.59
9903	2.48
9939	3.43
9955	3.09
9980	3.34
9998	3.15
10033	3.1
10034	2.62
10038	3.08
10097	2.59
10102	3.22
10116	3.06
10126	3.71
10139	3.57
10209	3.31
10217	2.58
10231	3.73
10298	3.79
10358	3.18
10359	3.29
10379	3.59
10391	2.93
10429	3.43
10449	4.16
10451	3.74
10461	3.81
10469	2.78
10527	3.14
10546	2.25
10550	3.72
10585	2.8
10615	3.49
10730	3.36
10732	3.27
10748	3.65
10774	3.89
10832	3.94
10838	3.19
10888	3.05
10897	3.63
10922	3.19
10926	2.96
10988	3.33
10991	3.17
11064	4.09
11084	3.83
11109	3.51
11132	3.29
11139	3.43
11152	4.19
11171	2.94
11183	3.6
11202	4.26
11211	2.61
11214	3.49
11222	4.0
11227	3.66
11277	3.82
11308	3.67
11468	3.5
11485	3.13
11526	3.19
11552	3.48
11601	3.25
11612	3.52
11648	3.07
11663	3.49
11677	3.35
11683	2.89
11702	3.51
11741	3.26
11781	4.15
11800	3.72
11812	4.16
11820	2.95
11822	3.48
11827	2.56
11842	2.81
11850	2.36
11881	3.48
11888	3.79
11933	3.13
11938	3.06
11961	3.71
11983	3.43
11991	2.97
12005	3.19
12052	3.95
12054	3.02
12076	3.05
12090	3.43
12118	2.68
12160	3.27
12171	2.12
12201	3.07
12224	3.33
12234	3.5
12277	3.33
12285	3.79
12299	3.65
12367	3.46
12404	2.83
12410	2.95
12420	3.0
12437	2.58
12452	3.05
12462	3.74
12481	2.86
12508	3.73
12531	3.26
12560	3.85
12582	3.86
12584	3.45
12604	2.95
12643	3.09
12656	3.01
12663	2.93
12682	3.11
12690	3.8
12694	3.44
12707	3.04
12742	3.7
12744	3.02
12745	3.47
12747	3.0
12794	3.1
12850	2.84
12861	3.63
12870	4.46
12894	3.6
12903	3.14
12911	3.64
12918	3.79
12940	3.17
12945	3.37
12962	3.07
12967	2.65
12992	2.94
13012	2.17
13043	3.09
13052	3.84
13122	2.98
13195	3.7
13255	4.01
13270	3.68
